,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,111,23,6,5,14,-1904,0,0,452,8.456000000000001,
0,0,109,23,6,3,162,-1896,0,0,453,8.497000000000002,
0,0,109,23,6,4,11,-2019,0,0,454,8.539,
0,0,108,23,7,4,135,-1943,0,0,455,8.58,
0,0,107,23,6,4,112,-1969,0,0,456,8.621,
0,0,106,23,6,3,112,-2207,0,0,457,8.663000000000002,
0,0,106,23,5,4,104,-2160,0,0,458,8.708,
0,0,106,23,6,4,117,-2074,0,0,459,8.761000000000001,
0,0,105,23,6,4,0,-2052,0,0,460,8.806,
0,0,103,24,6,2,127,-1752,0,0,461,8.85,
0,0,103,24,6,2,127,-2007,0,0,462,8.946,
0,0,103,24,6,2,149,-2127,0,0,463,8.991000000000001,
0,0,103,24,6,2,166,-2140,0,0,464,9.037,
0,0,102,24,4,2,0,-2009,0,0,465,9.08,
0,0,102,24,4,2,0,-2009,1,0,466,9.132,
0,0,102,24,4,2,0,-2009,1,0,467,9.187,
0,0,102,24,4,2,0,-2009,1,0,468,9.238999999999999,
0,0,102,24,4,2,0,-2009,1,0,469,9.28,
0,0,102,24,4,2,0,-2009,1,0,470,9.322000000000001,
0,0,95,25,2,2,153,-1383,0,0,471,9.381000000000002,
0,0,95,25,3,2,108,-2162,0,0,472,9.429,
0,0,95,25,3,3,27,-2153,0,0,473,9.471000000000002,
0,0,95,25,4,2,166,-2140,0,0,474,9.514999999999999,
0,0,95,26,3,3,108,-2089,0,0,475,9.558000000000002,
0,0,95,26,3,3,162,-2156,0,0,476,9.6,
0,0,95,26,3,3,162,-2252,0,0,477,9.645000000000001,
0,0,95,26,3,3,162,-2259,0,0,478,9.688,
0,0,95,26,3,3,162,-2234,0,0,479,9.748,
0,0,95,26,3,3,162,-2238,0,0,480,9.791000000000002,
0,0,95,26,3,3,108,-2156,0,0,481,9.834000000000001,
0,0,95,25,3,3,18,-2125,0,0,482,9.876,
0,0,95,25,3,2,18,-2220,0,0,483,9.971000000000002,
