,arena,cx,cy,datetime,fly,frame,time_position
155,9,626,188,2019-03-18 11:07:35.795237,0,79,39.5
156,0,713,973,2019-03-18 11:07:35.833177,0,80,40.0
157,9,627,188,2019-03-18 11:07:35.923334,0,80,40.0
158,0,711,973,2019-03-18 11:07:35.965289,0,81,40.5
159,9,628,188,2019-03-18 11:07:36.067706,0,81,40.5
160,0,711,973,2019-03-18 11:07:36.105406,0,82,41.0
161,9,631,188,2019-03-18 11:07:36.205972,0,82,41.0
162,0,704,972,2019-03-18 11:07:36.246963,0,83,41.5
163,9,632,188,2019-03-18 11:07:36.344786,0,83,41.5
164,0,702,972,2019-03-18 11:07:36.381695,0,84,42.0
165,9,632,188,2019-03-18 11:07:36.490873,0,84,42.0
166,0,697,972,2019-03-18 11:07:36.534700,0,85,42.5
167,9,634,188,2019-03-18 11:07:36.661566,0,85,42.5
168,0,697,972,2019-03-18 11:07:36.703369,0,86,43.0
169,9,634,188,2019-03-18 11:07:36.818262,0,86,43.0
170,0,695,973,2019-03-18 11:07:36.863668,0,87,43.5
171,9,636,189,2019-03-18 11:07:36.956371,0,87,43.5
172,0,688,973,2019-03-18 11:07:36.999651,0,88,44.0
173,9,637,188,2019-03-18 11:07:37.090163,0,88,44.0
174,0,683,972,2019-03-18 11:07:37.131899,0,89,44.5
175,9,639,188,2019-03-18 11:07:37.241923,0,89,44.5
176,0,679,972,2019-03-18 11:07:37.286240,0,90,45.0
177,9,640,188,2019-03-18 11:07:37.391249,0,90,45.0
178,9,642,187,2019-03-18 11:07:37.557611,0,91,45.5
179,9,644,187,2019-03-18 11:07:37.723937,0,92,46.0
180,0,662,974,2019-03-18 11:07:37.767689,0,93,46.5
181,9,647,187,2019-03-18 11:07:37.877095,0,93,46.5
182,0,656,973,2019-03-18 11:07:37.922369,0,94,47.0
183,9,647,187,2019-03-18 11:07:38.055975,0,94,47.0
184,0,655,973,2019-03-18 11:07:38.099955,0,95,47.5
185,9,648,187,2019-03-18 11:07:38.214795,0,95,47.5
186,0,654,973,2019-03-18 11:07:38.256632,0,96,48.0
187,9,648,187,2019-03-18 11:07:38.375577,0,96,48.0
188,0,654,973,2019-03-18 11:07:38.422070,0,97,48.5
189,9,651,188,2019-03-18 11:07:38.548951,0,97,48.5
190,0,657,974,2019-03-18 11:07:38.588607,0,98,49.0
191,9,652,187,2019-03-18 11:07:38.690744,0,98,49.0
192,0,659,974,2019-03-18 11:07:38.731338,0,99,49.5
193,9,654,188,2019-03-18 11:07:38.823235,0,99,49.5
194,0,658,974,2019-03-18 11:07:38.862562,0,100,50.0
195,9,655,188,2019-03-18 11:07:38.962114,0,100,50.0
196,0,655,974,2019-03-18 11:07:38.999352,0,101,50.5
197,9,655,188,2019-03-18 11:07:39.101676,0,101,50.5
198,0,650,973,2019-03-18 11:07:39.141695,0,102,51.0
199,9,656,189,2019-03-18 11:07:39.283804,0,102,51.0
200,0,649,973,2019-03-18 11:07:39.327611,0,103,51.5
201,9,656,188,2019-03-18 11:07:39.449300,0,103,51.5
202,0,646,973,2019-03-18 11:07:39.501085,0,104,52.0
203,9,658,189,2019-03-18 11:07:39.639220,0,104,52.0
204,9,656,188,2019-03-18 11:07:39.641116,1,104,52.0
205,9,657,188,2019-03-18 11:07:39.807109,0,105,52.5
206,9,657,188,2019-03-18 11:07:39.954766,0,106,53.0
207,9,659,188,2019-03-18 11:07:40.094822,0,107,53.5
208,0,635,973,2019-03-18 11:07:40.135810,0,108,54.0
209,9,660,188,2019-03-18 11:07:40.257848,0,108,54.0
210,0,630,973,2019-03-18 11:07:40.307091,0,109,54.5
211,9,664,190,2019-03-18 11:07:40.406907,0,109,54.5
212,9,662,188,2019-03-18 11:07:40.408730,1,109,54.5
213,0,624,973,2019-03-18 11:07:40.455117,0,110,55.0
214,9,663,188,2019-03-18 11:07:40.572908,0,110,55.0
215,0,622,973,2019-03-18 11:07:40.614231,0,111,55.5
216,9,664,188,2019-03-18 11:07:40.708720,0,111,55.5
217,0,616,974,2019-03-18 11:07:40.748194,0,112,56.0
218,9,665,188,2019-03-18 11:07:40.844021,0,112,56.0
219,0,616,975,2019-03-18 11:07:40.884040,0,113,56.5
220,9,668,188,2019-03-18 11:07:40.978793,0,113,56.5
221,9,669,186,2019-03-18 11:07:41.112068,0,114,57.0
222,0,615,976,2019-03-18 11:07:41.149257,0,115,57.5
223,9,669,186,2019-03-18 11:07:41.244803,0,115,57.5
224,0,614,976,2019-03-18 11:07:41.282113,0,116,58.0
225,9,670,187,2019-03-18 11:07:41.372692,0,116,58.0
226,0,618,976,2019-03-18 11:07:41.413298,0,117,58.5
227,9,672,188,2019-03-18 11:07:41.519669,0,117,58.5
228,0,620,977,2019-03-18 11:07:41.560573,0,118,59.0
229,9,672,187,2019-03-18 11:07:41.687793,0,118,59.0
230,0,625,977,2019-03-18 11:07:41.726785,0,119,59.5
231,9,676,187,2019-03-18 11:07:41.863481,0,119,59.5
